Key	Type	Reactions	MSID
2.3.1.16	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	rxn21063
2.3.1.16	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	rxn21064
2.3.1.16	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	rxn21573
2.3.1.16	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	rxn23126
2.3.1.16	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	rxn31685
2.3.1.16	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	rxn32881
2.3.1.9	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	rxn00178
2.3.1.9	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	rxn00874
2.3.1.9	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	rxn23003
4.2.1.1	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	rxn00102
4.2.1.116	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	rxn02181
4.2.1.120	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	rxn03642
4.2.1.150	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	rxn02167
4.2.1.150	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	rxn02168
4.2.1.150	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	rxn03874
4.2.1.150	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	rxn27538
4.2.1.150	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	rxn19669
5.1.99.1	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	rxn01996
5.1.99.1	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	rxn16825
5.4.99.2	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	rxn00602
6.2.1.36	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	rxn16146
6.3.4.14	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	rxn06672
6.3.4.14	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	rxn19235
6.3.4.14	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	rxn27736
6.3.4.14	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	rxn31681
6.3.4.14	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	rxn05320
6.4.1.3	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	rxn01355
6.4.1.3	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	rxn14157
6.4.1.3	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	rxn26656
1.6.5.9	EC	Complex I_Ca.Nitrospira_dfluvii	rxn06108
1.6.5.9	EC	Complex I_Ca.Nitrospira_dfluvii	rxn20240
1.6.5.9	EC	Complex I_Ca.Nitrospira_dfluvii	rxn37813
