		sol$fluxes	cpd00015[c0]
		met_name	FAD[c0]
rxn00122_c0	ATP:FMN adenylyltransferase	0.00122947150850905	1
rxn00288_c0	Succinate:(acceptor) oxidoreductase	0.263044649972358	-1
rxn02270_c0	Branched-chain acyl-CoA dehydrogenase	-0.025929687992857	-1
rxn02679_c0	Octanoyl-CoA:oxygen 2-oxidoreductase	-0.0517216532765588	-1
rxn02720_c0	Lauroyl-CoA:(acceptor) 2,3-oxidoreductase	-0.0517216532765588	-1
rxn02803_c0	Tetradecanoyl-CoA:(acceptor) 2,3-oxidoreductase	-0.0302283488734929	-1
rxn03251_c0	Hexanoyl-CoA:(acceptor) 2,3-oxidoreductase	-0.0517216532765588	-1
rxn03253_c0	Decanoyl-CoA:(acceptor) 2,3-oxidoreductase	-0.0517216532765588	-1
