Key	Type	Reactions	MSID
4.1.1.31	EC	P23-PWY_reductive TCA cycle I	rxn00251
4.1.1.31	EC	P23-PWY_reductive TCA cycle I	rxn20508
4.1.1.31	EC	P23-PWY_reductive TCA cycle I	rxn32421
4.1.3.34	EC	PWY-5392_reductive TCA cycle II	rxn00259
4.1.3.34	EC	PWY-5392_reductive TCA cycle II	rxn19315
4.2.1.2	EC	P23-PWY_reductive TCA cycle I	rxn00799
4.2.1.2	EC	P23-PWY_reductive TCA cycle I	rxn33856
4.2.1.2	EC	PWY-5392_reductive TCA cycle II	rxn00799
4.2.1.2	EC	PWY-5392_reductive TCA cycle II	rxn33856
4.2.1.3	EC	P23-PWY_reductive TCA cycle I	rxn00973
4.2.1.3	EC	P23-PWY_reductive TCA cycle I	rxn00974
4.2.1.3	EC	P23-PWY_reductive TCA cycle I	rxn01388
4.2.1.3	EC	P23-PWY_reductive TCA cycle I	rxn15171
4.2.1.3	EC	P23-PWY_reductive TCA cycle I	rxn15172
4.2.1.3	EC	P23-PWY_reductive TCA cycle I	rxn15280
4.2.1.3	EC	P23-PWY_reductive TCA cycle I	rxn15281
4.2.1.3	EC	P23-PWY_reductive TCA cycle I	rxn19040
4.2.1.3	EC	P23-PWY_reductive TCA cycle I	rxn32587
4.2.1.3	EC	P23-PWY_reductive TCA cycle I	rxn00973
4.2.1.3	EC	P23-PWY_reductive TCA cycle I	rxn00974
4.2.1.3	EC	P23-PWY_reductive TCA cycle I	rxn01388
4.2.1.3	EC	P23-PWY_reductive TCA cycle I	rxn15171
4.2.1.3	EC	P23-PWY_reductive TCA cycle I	rxn15172
4.2.1.3	EC	P23-PWY_reductive TCA cycle I	rxn15280
4.2.1.3	EC	P23-PWY_reductive TCA cycle I	rxn15281
4.2.1.3	EC	P23-PWY_reductive TCA cycle I	rxn19040
4.2.1.3	EC	P23-PWY_reductive TCA cycle I	rxn32587
4.2.1.3	EC	PWY-5392_reductive TCA cycle II	rxn00973
4.2.1.3	EC	PWY-5392_reductive TCA cycle II	rxn00974
4.2.1.3	EC	PWY-5392_reductive TCA cycle II	rxn01388
4.2.1.3	EC	PWY-5392_reductive TCA cycle II	rxn15171
4.2.1.3	EC	PWY-5392_reductive TCA cycle II	rxn15172
4.2.1.3	EC	PWY-5392_reductive TCA cycle II	rxn15280
4.2.1.3	EC	PWY-5392_reductive TCA cycle II	rxn15281
4.2.1.3	EC	PWY-5392_reductive TCA cycle II	rxn19040
4.2.1.3	EC	PWY-5392_reductive TCA cycle II	rxn32587
4.2.1.3	EC	PWY-5392_reductive TCA cycle II	rxn00973
4.2.1.3	EC	PWY-5392_reductive TCA cycle II	rxn00974
4.2.1.3	EC	PWY-5392_reductive TCA cycle II	rxn01388
4.2.1.3	EC	PWY-5392_reductive TCA cycle II	rxn15171
4.2.1.3	EC	PWY-5392_reductive TCA cycle II	rxn15172
4.2.1.3	EC	PWY-5392_reductive TCA cycle II	rxn15280
4.2.1.3	EC	PWY-5392_reductive TCA cycle II	rxn15281
4.2.1.3	EC	PWY-5392_reductive TCA cycle II	rxn19040
4.2.1.3	EC	PWY-5392_reductive TCA cycle II	rxn32587
6.2.1.18	EC	PWY-5392_reductive TCA cycle II	rxn00971
6.2.1.5	EC	P23-PWY_reductive TCA cycle I	rxn00285
6.2.1.5	EC	P23-PWY_reductive TCA cycle I	rxn01731
6.2.1.5	EC	P23-PWY_reductive TCA cycle I	rxn33854
6.2.1.5	EC	PWY-5392_reductive TCA cycle II	rxn00285
6.2.1.5	EC	PWY-5392_reductive TCA cycle II	rxn01731
6.2.1.5	EC	PWY-5392_reductive TCA cycle II	rxn33854
6.4.1.7	EC	PWY-5392_reductive TCA cycle II	rxn11735
6.4.1.7	EC	PWY-5392_reductive TCA cycle II	rxn24940
