		sol$fluxes	cpd00005[c0]
		met_name	NADPH[c0]
rxn00083_c0	NADPH:NAD+ oxidoreductase	-1000	-1
rxn00086_c0	glutathione:NADP+ oxidoreductase	-1000	1
rxn00184_c0	L-Glutamate:NADP+ oxidoreductase (deaminating)	1000	1
rxn00218_c0	D-Glucose:NADP+ 1-oxidoreductase	1000	1
rxn00249_c0	(S)-malate:NADP+ oxidoreductase	992.638792634113	1
rxn00324_c0	glycolate:NADP+ oxidoreductase	-999.996793714442	1
rxn00532_c0	3-oxopropanoate:NADP+ oxidoreductase (CoA-malonylating)	-0.00213752370541442	1
rxn00536_c0	Ethanol:NADP+ oxidoreductase	1000	1
rxn00604_c0	D-glucose-6-phosphate:NADP+ 1-oxidoreductase	1000	1
rxn00686_c0	5,6,7,8-tetrahydrofolate:NADP+ oxidoreductase	-0.00989054703688907	1
rxn00720_c0	5,6-Dihydrouracil:NADP+ oxidoreductase	1000	1
rxn00765_c0	Glycerol:NADP+ oxidoreductase	-1000	1
rxn00907_c0	5,10-methylenetetrahydrofolate:NADP+ oxidoreductase	-0.158956470933276	1
rxn00910_c0	5-methyltetrahydrofolate:NADP+ oxidoreductase	-0.0437816909876121	1
rxn00945_c0	hexadecanoyl-CoA:NADP+ trans-2-oxidoreductase	-0.0225403038523382	1
rxn00958_c0	4-Hydroxybenzaldehyde:NADP+ oxidoreductase	-1000	1
rxn00998_c0	Phenyllactate:NADP+ oxidoreductase	-990.889269003089	1
rxn01013_c0	D-Glycerate:NADP+ 2-oxidoreductase	-1000	1
rxn01028_c0	5,6-Dihydrothymine:NADP+ oxidoreductase	1000	1
rxn01033_c0	benzaldehyde:NADP+ oxidoreductase	-1000	1
rxn01043_c0	xylitol:NADP+ oxidoreductase	1000	1
rxn01278_c0	D-Gluconate:NADP+ 5-oxidoreductase	-1000	1
rxn01291_c0	L-Arabitol:NADP+ 1-oxidoreductase	1000	1
rxn01324_c0	Tetrahydrobiopterin:NADP+ oxidoreductase	-1000	1
rxn01339_c0	3beta-Hydroxyandrost-5-en-17-one:NADP+ 3-oxidoreductase	-1000	1
rxn01387_c0	Isocitrate:NADP+ oxidoreductase	1000	1
rxn01425_c0	Caffeic aldehyde:NADP+ oxidoreductase (CoA-caffeoylating)	-1000	1
rxn01475_c0	6-phospho-D-gluconate:NADP+ 2-oxidoreductase	1000	1
rxn01570_c0	Coniferyl aldehyde:NADP+ oxidoreductase (CoA-feruloylating)	-1000	1
rxn01584_c0	20alpha-Hydroxy-4-pregnen-3-one:NADP+ 20-oxidoreductase	-1000	-1
rxn01587_c0	Pregnenolone:NADP+ 3-oxidoreductase	1000	1
rxn01643_c0	L-Aspartate-4-semialdehyde:NADP+ oxidoreductase (phosphorylating)	-1000	1
rxn01663_c0	N6-(L-1,3-Dicarboxypropyl)-L-lysine:NADP+ oxidoreductase	999.911786535577	1
rxn01693_c0	Estradiol-17beta:NADP+ 17-oxidoreductase	-1000	1
rxn01740_c0	Shikimate:NADP+ 3-oxidoreductase	999.899109479298	1
rxn01790_c0	(R)-Pantoate:NADP+ 2-oxidoreductase	-0.00213752370541442	1
rxn01810_c0	Testosterone delta5-delat4-isomerase	-1000	-1
rxn01841_c0	Aldehyde:NADP+ oxidoreductase	1000	1
rxn01879_c0	Propane-1,2-diol:NAD+ 1-oxidoreductase	-1000	1
rxn01887_c0	coniferyl alcohol:NADP+ oxidoreductase	-1000	1
rxn01939_c0	indole-3-ethanol:NADP+ oxidoreductase	-1000	1
rxn01944_c0	4-Hydroxyphenylacetaldehyde:NADP+ oxidoreductase	-1000	1
rxn02040_c0	Cortisol delta5-delat4-isomerase	1000	-1
rxn02049_c0	R02856	-1000	1
rxn02103_c0	(S)-Ureidoglycolate:NADP+ oxidoreductase	-1000	1
rxn02186_c0	2,3-Dihydroxy-3-methylbutanoate:NADP+ oxidoreductase (isomerizing)	1000	-1
rxn02227_c0	L-2-Aminoadipate-6-semialdehyde:NADP+ 6-oxidoreductase	-1000	1
rxn02285_c0	UDP-N-acetylmuramate:NADP+ oxidoreductase	-0.00373676391450317	1
rxn02365_c0	3,4-Dihydroxyphenylacetaldehyde:NADP+ oxidoreductase	-1000	1
rxn02373_c0	L-glutamate-5-semialdehyde:NADP+ 5-oxidoreductase (phosphorylating)	-0.13499890723865	1
rxn02384_c0	17alpha,20alpha-Dihydroxypregn-4-en-3-one:NADP+ 20-oxidoreductase	-1000	1
rxn02386_c0	17alpha-Hydroxypregnenolone:NADP+ 3-oxidoreductase	-1000	1
rxn02394_c0	4-Hydroxyphenyllactate:NADP+ oxidoreductase	-1000	1
rxn02395_c0	(R)-3-(4-hydroxyphenyl)lactate:NADP+ 2-oxidoreductase	-1000	1
rxn02474_c0	5-amino-6-(5-phosphoribitylamino)uracil:NADP+ 1'-oxidoreductase	-0.00213752370541442	1
rxn02758_c0	Sinapyl alcohol:NADP+ oxidoreductase	1000	-1
rxn02906_c0	21-Hydroxypregnenolone:NADP+ 3-oxidoreductase	-1000	1
rxn02985_c0	6-Lactoyl-5,6,7,8-tetrahydropterin:NADP+ 2'-oxidoreductase	-1000	1
rxn03068_c0	(R)-2,3-Dihydroxy-3-methylbutanoate:NADP+ oxidoreductase (isomerizing)	1000	1
rxn03072_c0	L-1-Pyrroline-3-hydroxy-5-carboxylate:NADP+ oxidoreductase	-1000	1
rxn03113_c0	(15S)-15-Hydroxy-5,8,11-cis-13-trans-icosatetraenoate:NADP+ 15-oxidoreductase	-1000	1
rxn03199_c0	16alpha-Hydroxyandrost-4-ene-3,17-dione delta5-delat4-isomerase	-1000	-1
rxn03201_c0	Estriol:NADP+ 17-oxidoreductase	-1000	1
rxn03256_c0	11beta-Hydroxyandrost-4-ene-3,17-dione:NADP+ 11-oxidoreductase	1000	1
rxn03310_c0	Tetrahydrocorticosterone:NADP+ 11-oxidoreductase	-1000	1
rxn03319_c0	11-Deoxycortisol delta5-delat4-isomerase	-1000	-1
rxn03336_c0	3,4-Dihydroxymandelaldehyde:NADP+ oxidoreductase	-1000	1
rxn03341_c0	3-Methoxy-4-hydroxyphenylacetaldehyde:NADP+ oxidoreductase	-1000	1
rxn03344_c0	3-Methoxy-4-hydroxyphenylglycolaldehyde:NADP+ oxidoreductase	-1000	1
rxn03435_c0	(R)-2,3-Dihydroxy-3-methylpentanoate:NADP+ oxidoreductase (isomerizing)	-0.0746837919657537	1
