		sol$fluxes	cpd00005[c0]
rxn03601_c0	p-Methylbenzaldehyde:NADP+ oxidoreductase	1000	1
rxn03935_c0	R05664	1000	1
rxn03958_c0	1-Deoxy-D-xylulose-5-phosphate isomeroreductase	-0.0411044030610128	1
rxn03982_c0	mycothiol:NADP+ oxidoreductase	-1000	1
rxn04050_c0	R05812	1.13686837721616e-13	-1
rxn04424_c0	cinnamyl-alcohol:NADP+ oxidoreductase	-1000	-1
rxn04425_c0	cinnamyl-alcohol:NADP+ oxidoreductase	-1000	-1
rxn04661_c0	L-quinate:NADP+ 3-oxidoreductase	-1000	1
rxn05143_c0	sinapoyl aldehyde:NADP oxidoreductase	-1000	1
rxn05289_c0	NADPH:oxidized-thioredoxin oxidoreductase	0.0271717946294098	-1
rxn05342_c0	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase	-0.0149470556577853	1
rxn06072_c0	Reduced rubredoxin:NADP+ oxidoreductase	1000	1
rxn06253_c0	Alditol:NADP+ 1-oxidoreductase	1000	1
rxn06526_c0	protein-dithiol:NADP+ oxidoreductase	1000	1
rxn07481_c0	3-hydroxybenzaldehyde:NADP+ oxidoreductase	1000	1
rxn08387_c0	enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C12:1)	-1000	-1
rxn08391_c0	enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C14:1)	-1000	-1
rxn08393_c0	trans hexadecenoyl-[acp] reductase (NADPH, B-specific)	-1000	-1
rxn08395_c0	enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C16:1)	-1000	-1
rxn08399_c0	enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C18:1)	-1000	-1
rxn08764_c0	ketol-acid reductoisomerase (2-Acetolactate)	-1000	-1
rxn09882_c0	RXN-5581.c.metaexp.NADP_NADPH	-1000	1
rxn11552_c0	galactitol:NADP+ 1-oxidoreductase	-1000	-1
rxn11742_c0	R08208	1000	2
rxn11811_c0	carboxyphosphamide:NADP+ oxidoreductase	-1000	1
rxn12191_c0	R08558	-1000	1
rxn14276_c0	11beta,17beta-dihydroxy-4-androsten-3-one:NADP+ 17-oxidoreductase	1000	1
rxn15026_c0	D-Glucose:NADP+ 1-oxidoreductase	-1000	1
rxn15072_c0	D-glucose-6-phosphate:NADP+ 1-oxidoreductase	-1000	1
rxn15126_c0	galactitol:NADP+ 1-oxidoreductase	-1000	-1
rxn15127_c0	galactitol:NADP+ 1-oxidoreductase	-1000	-1
rxn15189_c0	xylitol:NADP+ oxidoreductase	-1000	1
rxn15240_c0	L-Arabitol:NADP+ 1-oxidoreductase	1000	1
rxn15241_c0	L-Arabitol:NADP+ 1-oxidoreductase	1000	1
rxn15279_c0	Isocitrate:NADP+ oxidoreductase	-1000	1
rxn15345_c0	Propane-1,2-diol:NAD+ 1-oxidoreductase	1000	1
rxn15346_c0	Propane-1,2-diol:NAD+ 1-oxidoreductase	-1000	1
rxn15466_c0	(R)-2,3-Dihydroxy-3-methylbutanoate:NADP+ oxidoreductase (isomerizing)	-0.249270390352535	1
rxn15662_c0	D-glucose:NADP+ 1-oxidoreductase	-1000	1
rxn16000_c0	2,4-dichloro-3-oxoadipate:NADP+ oxidoreductase	-1000	-2
rxn05275_c0	b-ketoacyl synthetase (Iso-C17:0)	0.0225403038515791	-12
rxn05276_c0	b-ketoacyl synthetase (Anteiso-C17:0)	0.022540303851579	-12
rxn09427_c0	fatty-acyl-CoA synthase (n-C18:0CoA)	0.0225403038521108	-2
rxn15874_c0	dTDP-6-deoxy-L-mannose:NADP+ 4-oxidoreductase (3,5-epimerizing)	-0.00373676391438948	1
rxn15947_c0	carboxyspermidine:NADP+ oxidoreductase	0.00106876185270721	-1
rxn19029_c0	2,3-dihydroxy-3-methylvalerate dehydrogenase (isomerizing)	-1000	1
rxn31947_c0	NADP+ oxidoreductase (CoA-feruloylating)	-1000	-1
rxn32133_c0	Glutathione reductase (NADPH)	-1000	-1
rxn32990_c0	Caffeic aldehyde:NADP+ oxidoreductase (CoA-caffeoylating)	-1000	-1
rxn33374_c0	Aspartate-semialdehyde dehydrogenase	-999.814722255593	-1
